liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Carries,Duels,Duels lost,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Handballs conceded,Index,Leftside Passes,Open Play Passes,Progressive Carries,PutThrough/Blocked Distribution,Recoveries,Rightside Passes,Starts,Substitute On,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Total Fouls Conceded,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Winning Goal,Aerial Duels,Aerial Duels lost,Backward Passes,Duels won,Ground Duels won,Interceptions,Key Passes (Attempt Assists),PutThrough/Blocked Distribution Won,Substitute Off,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Tackles Won,Total Big Chances Created,Total Clearances,Total Fouls Won,Total Tackles,Unsuccessful lay-offs,Aerial Duels won,Clean Sheets,Foul Attempted Tackle,Shots On Target ( inc goals ),Successful Launches,Tackles Lost,Times Tackled,Total Shots,Total Touches In Opposition Box,Blocks,Shots Off Target (inc woodwork),Total Big Chances Missed,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Successful Crosses & Corners,Successful Crosses open play,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Saves Made,Saves Made from Outside Box,Saves made - parried,Corners Won,Goals,Goals Openplay,Goals from Inside Box,Right Foot Goals,Through balls,Home Goals,Away Goals,Blocked Shots,Goal Assists,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Offsides,Successful Corners into Box,Goals Conceded Inside Box,Overruns,Total Big Chances Saved,Total Big Chances Scored,Hit Woodwork,Penalty Goals Conceded,Unsuccessful Corners into Box,Headed Goals,Left Foot Goals,Catches,Drops,Punches,Saves Made from Inside Box,Saves made - caught,Penalties Taken,Penalty Goals,Last Player Tackle,Foul Won Penalty,Penalties Faced,Straight Red Cards,Total Red Cards,Penalties Conceded,Goalkeeper Smother,Clearances Off the Line,Penalties Saved,Saves from Penalty,Goals from Outside Box,Second Goal Assists,Direct Setpiece Goals,Set Pieces Goals,Red Cards - 2nd Yellow,Own Goal Scored,Penalties Off Target,Other Goals
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,4luj0v1ttpt61sniftg4bxrtg,Diego Aguado,Defender,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,6w5wyari2p4bh2zzy2x2f6hg5,D. Alaba,Defender,4,1.0,7.0,2.0,2.0,2.0,12.0,1.0,2.0,,,,,10.0,7.0,27.0,4.0,,,6.0,,1.0,27.0,10.0,17.0,26.0,,,25.0,,,27.0,27.0,,31.0,,,,,,,0.0,2.0,2.0,2.0,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,19z8jmren3eytg7fbuzqv73kl,T. Alexander-Arnold,Defender,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,atj6u4qul0o2ca57etbmes07o,Raúl Asencio,Defender,17,1.0,14.0,3.0,1.0,1.0,20.0,1.0,3.0,,1.0,1.0,,10.0,36.0,82.0,9.0,1.0,2.0,22.0,1.0,,74.0,29.0,46.0,68.0,,1.0,90.0,1.0,8.0,83.0,75.0,8.0,88.0,1.0,3.0,5.0,3.0,5.0,1.0,0.0,2.0,,5.0,2.0,,,,1.0,,,,7.0,,,3.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,e83ula4wockmc2xid7185kcq2,J. Bellingham,Midfielder,5,1.0,2.0,3.0,1.0,3.0,,1.0,2.0,,2.0,1.0,,10.0,2.0,7.0,1.0,,,2.0,,1.0,6.0,3.0,3.0,6.0,,,13.0,1.0,2.0,7.0,6.0,1.0,10.0,,,,1.0,1.0,1.0,0.0,1.0,,3.0,2.0,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,en2c7z1raqmcwee78297pbnu2,E. Camavinga,Midfielder,6,1.0,9.0,3.0,,8.0,16.0,1.0,2.0,,1.0,,,10.0,4.0,33.0,5.0,,2.0,11.0,,1.0,28.0,18.0,12.0,28.0,,,25.0,,5.0,34.0,29.0,5.0,37.0,,1.0,4.0,1.0,4.0,,0.0,2.0,,3.0,3.0,1.0,,,,,,,1.0,1.0,,,,1.0,,2.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,a4kw8u4dqsslfwe1ux08lbmc,Álvaro Carreras,Defender,18,1.0,10.0,7.0,4.0,9.0,15.0,1.0,2.0,,6.0,4.0,,10.0,21.0,59.0,6.0,,5.0,22.0,1.0,,57.0,25.0,34.0,58.0,,,90.0,2.0,4.0,61.0,59.0,2.0,73.0,1.0,2.0,2.0,,,,0.0,1.0,,3.0,3.0,2.0,2.0,,,,,,1.0,,,3.0,1.0,1.0,,1.0,,2.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,7oykphzczagr975xsqt70s89h,Dani Carvajal,Defender,2,1.0,4.0,1.0,1.0,9.0,4.0,1.0,2.0,,1.0,1.0,,10.0,9.0,18.0,4.0,1.0,,1.0,,1.0,13.0,8.0,5.0,13.0,,2.0,13.0,1.0,7.0,18.0,13.0,5.0,23.0,,,5.0,2.0,5.0,,0.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,i48mf81fxn2af1xxjzfi8gr9,Dani Ceballos,Midfielder,19,1.0,26.0,3.0,1.0,34.0,14.0,1.0,1.0,,3.0,1.0,,10.0,20.0,80.0,13.0,1.0,,40.0,1.0,,72.0,53.0,22.0,70.0,,,86.0,,10.0,83.0,75.0,8.0,93.0,,,6.0,3.0,8.0,,0.0,,,9.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Copa_del_Rey,2025-2026,Real Madrid CF,ecmpznived7xp45o7bm96csno,Cestero,Midfielder,28,2.0,14.0,11.0,6.0,14.0,10.0,2.0,3.0,,9.0,5.0,,10.0,24.0,56.0,3.0,,1.0,17.0,1.0,1.0,51.0,21.0,31.0,51.0,,,90.0,1.0,7.0,57.0,52.0,5.0,67.0,,,4.0,1.0,5.0,,0.0,2.0,1.0,6.0,5.0,4.0,,,,1.0,,,1.0,3.0,,,1.0,3.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
