dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
16,Endrick,Real Madrid CF,Primera División,Attacker,Brazil,14qv8npo5alwnb5dud8x82ln8,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,4x7uzww3jur4re7sgt3mslyj8,https://www.scoresway.com/en_GB/soccer/primera-división-2024-2025/4x7uzww3jur4re7sgt3mslyj8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/14qv8npo5alwnb5dud8x82ln8
8,,Real Madrid CF,Primera División,Midfielder,Uruguay,1i9wi65k2foqwudeqiyih87hl,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,4x7uzww3jur4re7sgt3mslyj8,https://www.scoresway.com/en_GB/soccer/primera-división-2024-2025/4x7uzww3jur4re7sgt3mslyj8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1i9wi65k2foqwudeqiyih87hl
28,,Real Madrid CF,Primera División,Midfielder,Spain,1riebanoqbl7brs1bm3lkgxlg,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,4x7uzww3jur4re7sgt3mslyj8,https://www.scoresway.com/en_GB/soccer/primera-división-2024-2025/4x7uzww3jur4re7sgt3mslyj8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1riebanoqbl7brs1bm3lkgxlg
31,,Real Madrid CF,Primera División,Defender,Spain,2b1aq7e51fjbukd3muxfthd78,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,4x7uzww3jur4re7sgt3mslyj8,https://www.scoresway.com/en_GB/soccer/primera-división-2024-2025/4x7uzww3jur4re7sgt3mslyj8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2b1aq7e51fjbukd3muxfthd78
40,,Real Madrid CF,Primera División,Midfielder,Spain,2i7mscwsjthry9530usbtbklw,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,4x7uzww3jur4re7sgt3mslyj8,https://www.scoresway.com/en_GB/soccer/primera-división-2024-2025/4x7uzww3jur4re7sgt3mslyj8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2i7mscwsjthry9530usbtbklw
29,,Real Madrid CF,Primera División,Defender,Morocco,2ww626a9v31b072prdx0xf1g4,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,4x7uzww3jur4re7sgt3mslyj8,https://www.scoresway.com/en_GB/soccer/primera-división-2024-2025/4x7uzww3jur4re7sgt3mslyj8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2ww626a9v31b072prdx0xf1g4
13,,Real Madrid CF,Primera División,Goalkeeper,Ukraine,38bp85766w04a0nuulq5fiig9,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,4x7uzww3jur4re7sgt3mslyj8,https://www.scoresway.com/en_GB/soccer/primera-división-2024-2025/4x7uzww3jur4re7sgt3mslyj8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/38bp85766w04a0nuulq5fiig9
20,,Real Madrid CF,Primera División,Defender,Spain,39c5g6782qlrtw55fsre7exnt,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,4x7uzww3jur4re7sgt3mslyj8,https://www.scoresway.com/en_GB/soccer/primera-división-2024-2025/4x7uzww3jur4re7sgt3mslyj8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/39c5g6782qlrtw55fsre7exnt
15,,Real Madrid CF,Primera División,Midfielder,Türkiye,39gif4xfy8xddarasbsad56ok,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,4x7uzww3jur4re7sgt3mslyj8,https://www.scoresway.com/en_GB/soccer/primera-división-2024-2025/4x7uzww3jur4re7sgt3mslyj8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/39gif4xfy8xddarasbsad56ok
21,,Real Madrid CF,Primera División,Midfielder,Morocco,3jln1gzc0859ymphvq83i0mp5,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,4x7uzww3jur4re7sgt3mslyj8,https://www.scoresway.com/en_GB/soccer/primera-división-2024-2025/4x7uzww3jur4re7sgt3mslyj8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3jln1gzc0859ymphvq83i0mp5
34,,Real Madrid CF,Primera División,Goalkeeper,Spain,3krfyio6dlb6gkoggsmqwkj6c,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,4x7uzww3jur4re7sgt3mslyj8,https://www.scoresway.com/en_GB/soccer/primera-división-2024-2025/4x7uzww3jur4re7sgt3mslyj8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3krfyio6dlb6gkoggsmqwkj6c
