dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
9,Endrick,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Attacker,Brazil,14qv8npo5alwnb5dud8x82ln8,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/14qv8npo5alwnb5dud8x82ln8
12,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,England,19z8jmren3eytg7fbuzqv73kl,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/19z8jmren3eytg7fbuzqv73kl
30,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Attacker,Argentina,1fkntyd2z8e169yh98k0zst90,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1fkntyd2z8e169yh98k0zst90
8,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Uruguay,1i9wi65k2foqwudeqiyih87hl,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1i9wi65k2foqwudeqiyih87hl
,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Spain,1riebanoqbl7brs1bm3lkgxlg,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1riebanoqbl7brs1bm3lkgxlg
,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Spain,2b1aq7e51fjbukd3muxfthd78,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2b1aq7e51fjbukd3muxfthd78
,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Spain,2i7mscwsjthry9530usbtbklw,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2i7mscwsjthry9530usbtbklw
37,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Midfielder,Spain,2spn42sn73gxwyt6ucobiknl6,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2spn42sn73gxwyt6ucobiknl6
,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Defender,Morocco,2ww626a9v31b072prdx0xf1g4,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2ww626a9v31b072prdx0xf1g4
13,,Real Madrid CF,Real_Madrid_CF,UEFA Champions League,Goalkeeper,Ukraine,38bp85766w04a0nuulq5fiig9,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,2mr0u0l78k2gdsm79q56tb2fo,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/38bp85766w04a0nuulq5fiig9
