liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Carries,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Index,Interceptions,Leftside Passes,Open Play Passes,Penalties Conceded,Penalty Goals Conceded,Progressive Carries,Recoveries,Rightside Passes,Substitute On,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Throw Ins to Own Player,Time Played,Times Tackled,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Passes Opposition Half,Unsuccessful Short Passes,Winning Goal,Blocks,Foul Attempted Tackle,GK Successful Distribution,Goal Kicks,Goals Conceded Outside Box,Key Passes (Attempt Assists),PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Starts,Substitute Off,Successful Dribbles,Successful Launches,Successful Long Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Total Clearances,Total Shots,Total Tackles,Total Touches In Opposition Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Own Half,Yellow Cards,Blocked Shots,Corners Taken (incl short corners),Successful Lay-offs,Corners Won,Shots On Target ( inc goals ),Successful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,Through balls,Total Big Chances Created,Unsuccessful Corners into Box,Goals,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Offsides,Overruns,Penalties Taken,Penalty Goals,Right Foot Goals,Total Big Chances Missed,Total Big Chances Scored,Unsuccessful lay-offs,Home Goals,Away Goals,Assists (Intentional),Attempts from Set Pieces,Goal Assists,Direct Setpiece Goals,Left Foot Goals,Set Pieces Goals,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Last Player Tackle,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Total Big Chances Saved,Foul Won Penalty,Penalties Faced,Punches,Straight Red Cards,Total Red Cards,Clean Sheets,Shots Created,Hit Woodwork,Headed Goals,Other Goals,Second Goal Assists,Crosses not Claimed,Saves made - caught,Red Cards - 2nd Yellow,Own Goal Scored,Penalties Saved,Saves from Penalty,Clearances Off the Line,Penalties Off Target
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,4luj0v1ttpt61sniftg4bxrtg,Diego Aguado,Defender,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,6w5wyari2p4bh2zzy2x2f6hg5,D. Alaba,Defender,4,4.0,1.0,3.0,3.0,9.0,17.0,5.0,1.0,4.0,6.0,29.0,3.0,1.0,1.0,1.0,,1.0,,,,12.0,79.0,,,8.0,6.0,30.0,2.0,70.0,26.0,45.0,69.0,,115.0,,,,9.0,80.0,71.0,9.0,91.0,,4.0,5.0,0.0,1.0,,1.0,1.0,,,3.0,,,1.0,,,1.0,2.0,,1.0,,5.0,,1.0,2.0,,,2.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,19z8jmren3eytg7fbuzqv73kl,T. Alexander-Arnold,Defender,12,2.0,,2.0,8.0,36.0,50.0,33.0,17.0,16.0,95.0,112.0,8.0,7.0,5.0,31.0,17.0,14.0,,,6.0,135.0,287.0,,,25.0,28.0,13.0,1.0,234.0,131.0,125.0,219.0,18.0,540.0,4.0,2.0,1.0,86.0,296.0,243.0,53.0,412.0,3.0,53.0,30.0,0.0,2.0,1.0,,,2.0,9.0,6.0,,2.0,7.0,3.0,1.0,,24.0,2.0,10.0,4.0,13.0,2.0,12.0,6.0,23.0,9.0,7.0,23.0,23.0,1.0,2.0,18.0,2.0,4.0,,7.0,13.0,5.0,,4.0,10.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,9.0,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,atj6u4qul0o2ca57etbmes07o,Raúl Asencio,Defender,17,15.0,6.0,9.0,8.0,30.0,45.0,39.0,19.0,20.0,22.0,98.0,8.0,8.0,7.0,24.0,13.0,11.0,,,7.0,150.0,334.0,,2.0,17.0,16.0,68.0,1.0,314.0,123.0,202.0,317.0,6.0,559.0,2.0,6.0,5.0,28.0,346.0,324.0,22.0,415.0,,11.0,14.0,0.0,5.0,2.0,5.0,5.0,1.0,2.0,6.0,6.0,2.0,7.0,5.0,,,7.0,3.0,3.0,1.0,16.0,3.0,6.0,4.0,1.0,1.0,,8.0,12.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,3.0,,,,,,,1.0,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,e83ula4wockmc2xid7185kcq2,J. Bellingham,Midfielder,5,17.0,9.0,8.0,8.0,56.0,98.0,86.0,40.0,46.0,135.0,62.0,8.0,9.0,9.0,69.0,31.0,38.0,,,5.0,55.0,272.0,,2.0,52.0,24.0,103.0,3.0,245.0,176.0,74.0,233.0,1.0,517.0,17.0,9.0,13.0,54.0,276.0,249.0,27.0,394.0,8.0,22.0,25.0,1.0,1.0,3.0,,,,12.0,5.0,2.0,5.0,5.0,,10.0,,16.0,6.0,9.0,,12.0,9.0,15.0,25.0,2.0,2.0,,2.0,7.0,2.0,7.0,,14.0,2.0,4.0,,1.0,1.0,5.0,,,2.0,2.0,2.0,,1.0,1.0,,,1.0,5.0,2.0,,2.0,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,13.0,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,en2c7z1raqmcwee78297pbnu2,E. Camavinga,Midfielder,6,9.0,5.0,4.0,10.0,55.0,85.0,70.0,28.0,42.0,63.0,86.0,10.0,5.0,4.0,61.0,23.0,38.0,,,3.0,73.0,300.0,,,37.0,30.0,92.0,5.0,277.0,140.0,143.0,273.0,5.0,454.0,9.0,9.0,10.0,43.0,306.0,283.0,23.0,402.0,3.0,18.0,18.0,0.0,3.0,8.0,,,1.0,3.0,7.0,7.0,,5.0,5.0,7.0,,10.0,5.0,16.0,,9.0,2.0,21.0,2.0,,,1.0,5.0,5.0,1.0,,,6.0,,2.0,,,,3.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,0.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,a4kw8u4dqsslfwe1ux08lbmc,Álvaro Carreras,Defender,18,15.0,5.0,10.0,9.0,61.0,103.0,91.0,36.0,55.0,144.0,202.0,9.0,13.0,11.0,76.0,31.0,45.0,2.0,,9.0,39.0,483.0,,2.0,58.0,47.0,198.0,,419.0,230.0,206.0,420.0,46.0,797.0,7.0,14.0,9.0,90.0,500.0,435.0,65.0,688.0,4.0,45.0,50.0,0.0,5.0,7.0,5.0,5.0,2.0,6.0,16.0,8.0,2.0,9.0,3.0,12.0,3.0,15.0,10.0,14.0,1.0,29.0,2.0,24.0,5.0,4.0,4.0,7.0,15.0,24.0,4.0,1.0,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,6.0,,,,,,,,,,,1.0,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,7oykphzczagr975xsqt70s89h,Dani Carvajal,Defender,2,,,,5.0,14.0,5.0,4.0,1.0,3.0,13.0,9.0,5.0,1.0,1.0,4.0,1.0,3.0,,,1.0,20.0,43.0,,,2.0,6.0,3.0,5.0,43.0,20.0,27.0,44.0,5.0,96.0,,1.0,,3.0,46.0,46.0,,65.0,,1.0,,0.0,,1.0,,,,1.0,,,2.0,,,,,2.0,1.0,2.0,,2.0,2.0,3.0,2.0,1.0,1.0,,,,,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,i48mf81fxn2af1xxjzfi8gr9,Dani Ceballos,Midfielder,19,2.0,1.0,1.0,4.0,27.0,56.0,23.0,14.0,9.0,40.0,48.0,4.0,5.0,5.0,21.0,13.0,8.0,,,3.0,48.0,195.0,,1.0,18.0,15.0,78.0,2.0,181.0,97.0,89.0,178.0,,247.0,3.0,1.0,2.0,27.0,201.0,186.0,15.0,242.0,,13.0,13.0,0.0,,1.0,,,,2.0,6.0,3.0,,2.0,1.0,1.0,1.0,8.0,3.0,2.0,,7.0,,5.0,,5.0,1.0,1.0,2.0,7.0,,,4.0,1.0,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2025-2026,Real Madrid CF,ecmpznived7xp45o7bm96csno,Cestero,Midfielder,28,,,,1.0,1.0,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,2.0,5.0,,,,1.0,2.0,1.0,5.0,3.0,3.0,6.0,,11.0,,,1.0,,6.0,6.0,,7.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
