dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
16,Endrick,Real Madrid CF,Copa del Rey,Attacker,Brazil,14qv8npo5alwnb5dud8x82ln8,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/14qv8npo5alwnb5dud8x82ln8
8,,Real Madrid CF,Copa del Rey,Midfielder,Uruguay,1i9wi65k2foqwudeqiyih87hl,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1i9wi65k2foqwudeqiyih87hl
31,,Real Madrid CF,Copa del Rey,Defender,Spain,2b1aq7e51fjbukd3muxfthd78,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2b1aq7e51fjbukd3muxfthd78
40,,Real Madrid CF,Copa del Rey,Midfielder,Spain,2i7mscwsjthry9530usbtbklw,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2i7mscwsjthry9530usbtbklw
29,,Real Madrid CF,Copa del Rey,Defender,Morocco,2ww626a9v31b072prdx0xf1g4,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2ww626a9v31b072prdx0xf1g4
13,,Real Madrid CF,Copa del Rey,Goalkeeper,Ukraine,38bp85766w04a0nuulq5fiig9,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/38bp85766w04a0nuulq5fiig9
20,,Real Madrid CF,Copa del Rey,Defender,Spain,39c5g6782qlrtw55fsre7exnt,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/39c5g6782qlrtw55fsre7exnt
15,,Real Madrid CF,Copa del Rey,Midfielder,Türkiye,39gif4xfy8xddarasbsad56ok,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/39gif4xfy8xddarasbsad56ok
21,,Real Madrid CF,Copa del Rey,Midfielder,Morocco,3jln1gzc0859ymphvq83i0mp5,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3jln1gzc0859ymphvq83i0mp5
34,,Real Madrid CF,Copa del Rey,Goalkeeper,Spain,3krfyio6dlb6gkoggsmqwkj6c,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3krfyio6dlb6gkoggsmqwkj6c
,Valde,Real Madrid CF,Copa del Rey,Defender,Spain,3pxte13sf3ybzb3cgvim1tqtw,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3pxte13sf3ybzb3cgvim1tqtw
42,,Real Madrid CF,Copa del Rey,Attacker,Spain,3r8kqt2bz34yw8e2h4jdp96hg,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3r8kqt2bz34yw8e2h4jdp96hg
26,Fran González,Real Madrid CF,Copa del Rey,Goalkeeper,Spain,42mke5h9m4g7idv9q6ltuhkwk,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/42mke5h9m4g7idv9q6ltuhkwk
39,Lorenzo Aguado,Real Madrid CF,Copa del Rey,Defender,Spain,4kob1sqi695a8rwn3r3d2a6ms,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/4kob1sqi695a8rwn3r3d2a6ms
43,,Real Madrid CF,Copa del Rey,Defender,Spain,4luj0v1ttpt61sniftg4bxrtg,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/4luj0v1ttpt61sniftg4bxrtg
30,Gonzalo García,Real Madrid CF,Copa del Rey,Attacker,Spain,4o9d3hpjlicgce9gtbewyzhn8,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/4o9d3hpjlicgce9gtbewyzhn8
9,,Real Madrid CF,Copa del Rey,Attacker,France,5e9ilgrz3tzg9kd1gk3yvrahh,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/5e9ilgrz3tzg9kd1gk3yvrahh
1,,Real Madrid CF,Copa del Rey,Goalkeeper,Belgium,6crmq7vzqts58wg196q48sc7p,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/6crmq7vzqts58wg196q48sc7p
22,,Real Madrid CF,Copa del Rey,Defender,Germany,6fzbp94hf19ysotdassrqdc5x,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/6fzbp94hf19ysotdassrqdc5x
23,,Real Madrid CF,Copa del Rey,Defender,France,6q69l3ppqfqbryjubcrujfi6t,3kq9cckrnlogidldtdie2fkbl,apdwh753fupxheygs8seahh7x,8xdpm013ubhszzhxydmpq3wno,https://www.scoresway.com/en_GB/soccer/copa-del-rey-2024-2025/8xdpm013ubhszzhxydmpq3wno/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/6q69l3ppqfqbryjubcrujfi6t
