root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Goals Conceded Inside Box,Time Played,Yellow Cards,Index,Starts,Appearances,Games Played,Goals Conceded,Winning Goal,Substitute Off,Substitute On,Successful Open Play Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Tackles,Total Losses Of Possession,Leftside Passes,Unsuccessful Crosses & Corners,Unsuccessful Short Passes,Successful Passes Own Half,Forward Passes,Unsuccessful Long Passes,Unsuccessful Dribbles,Open Play Passes,Times Tackled,Duels lost,Total Clearances,Touches,Backward Passes,Interceptions,Duels,Recoveries,Throw Ins to Own Player,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Long Passes,Aerial Duels,Unsuccessful Crosses open play,Rightside Passes,Ground Duels won,Unsuccessful Passes Own Half,Throw Ins to Opposition Player,Successful Short Passes,Aerial Duels won,Foul Attempted Tackle,Unsuccessful Passes Opposition Half,Total Fouls Conceded,Total Passes,PutThrough/Blocked Distribution,Tackles Won,Tackles Lost,Unsuccessful Launches,Ground Duels,Successful Passes Opposition Half,Ground Duels lost,Duels won,Key Passes (Attempt Assists),Aerial Duels lost,Successful Dribbles,Total Fouls Won,Total Touches In Opposition Box,Total Shots,Goals from Inside Box,Shots On Target ( inc goals ),Clean Sheets,Right Foot Goals,Goals,Home Goals,Away Goals,Successful Lay-offs,Offsides,Shots Off Target (inc woodwork),PutThrough/Blocked Distribution Won,Blocked Shots,Overruns,Corners Taken (incl short corners),Corners Won,Successful Crosses & Corners,Assists (Intentional),Successful Corners into Box,Goals from Outside Box,Goal Assists,Successful Crosses open play,GK Successful Distribution,Goal Kicks,Catches,GK Unsuccessful Distribution,Saves Made from Inside Box,Saves Made,Goalkeeper Smother,Successful Launches,Saves made - parried,Punches,Left Foot Goals,Own Goal Scored,Handballs conceded,Unsuccessful Corners into Box,Blocks,Saves made - caught,Saves Made from Outside Box,Total Red Cards,Straight Red Cards,Penalties Conceded,Penalties Saved,Saves from Penalty,Penalties Faced,Unsuccessful lay-offs,Headed Goals,Penalty Goals Conceded,Drops,Through balls,Clearances Off the Line,Last Player Tackle,Goals Conceded Outside Box,Attempts from Set Pieces,Penalty Goals,Foul Won Penalty,Penalties Taken,Hit Woodwork,Other Goals,Red Cards - 2nd Yellow,Crosses not Claimed,Goals Openplay,Penalties Off Target,Second Goal Assists,Set Pieces Goals
testeo_ligas_europa,Spain_Copa_del_Rey,2024-2025,Real Madrid CF,Real_Madrid_CF,4luj0v1ttpt61sniftg4bxrtg,Diego Aguado,Defender,43,,90.0,,10.0,1.0,1.0,1.0,,0.0,,,59.0,4.0,,6.0,7.0,,3.0,36.0,31.0,1.0,1.0,63.0,1.0,4.0,1.0,67.0,1.0,1.0,6.0,4.0,,59.0,2.0,2.0,,24.0,,1.0,,57.0,2.0,2.0,3.0,3.0,63.0,1.0,,,,4.0,23.0,4.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Spain_Copa_del_Rey,2024-2025,Real Madrid CF,Real_Madrid_CF,4kob1sqi695a8rwn3r3d2a6ms,Lorenzo Aguado,Defender,39,,63.0,,10.0,1.0,1.0,1.0,,0.0,1.0,,23.0,,1.0,5.0,11.0,2.0,,12.0,1.0,,3.0,23.0,3.0,3.0,,45.0,8.0,1.0,7.0,,10.0,23.0,1.0,,2.0,3.0,4.0,,,22.0,,,2.0,,23.0,,,1.0,,7.0,11.0,3.0,4.0,,,1.0,2.0,3.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Spain_Copa_del_Rey,2024-2025,Real Madrid CF,Real_Madrid_CF,6w5wyari2p4bh2zzy2x2f6hg5,D. Alaba,Defender,4,4.0,108.0,,10.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,68.0,7.0,,8.0,27.0,,3.0,63.0,24.0,4.0,,75.0,,3.0,2.0,88.0,3.0,1.0,4.0,2.0,,73.0,1.0,2.0,,26.0,,2.0,,72.0,1.0,1.0,5.0,1.0,80.0,1.0,,,1.0,2.0,10.0,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Spain_Copa_del_Rey,2024-2025,Real Madrid CF,Real_Madrid_CF,e30x514qvzadcryj2zhoss26s,Chema Andrés,Midfielder,36,,27.0,,10.0,,1.0,1.0,,0.0,,1.0,13.0,3.0,2.0,3.0,3.0,,3.0,5.0,9.0,,,16.0,,2.0,,19.0,1.0,,4.0,4.0,,13.0,,2.0,,3.0,2.0,,,13.0,,,3.0,,16.0,1.0,,2.0,,2.0,8.0,,2.0,,2.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Spain_Copa_del_Rey,2024-2025,Real Madrid CF,Real_Madrid_CF,atj6u4qul0o2ca57etbmes07o,Raúl Asencio,Defender,35,9.0,570.0,2.0,10.0,6.0,6.0,6.0,11.0,0.0,2.0,,278.0,25.0,10.0,29.0,109.0,,10.0,211.0,111.0,15.0,3.0,302.0,3.0,20.0,17.0,364.0,23.0,1.0,37.0,23.0,3.0,287.0,17.0,12.0,,69.0,12.0,9.0,,270.0,5.0,4.0,16.0,7.0,312.0,4.0,8.0,2.0,11.0,25.0,76.0,13.0,17.0,,7.0,,2.0,5.0,2.0,,,1.0,,,,,,,2.0,1.0,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,4.0,,,,,1.0,,,,,,2.0,,,,3.0,2.0,,,,,,,,,,,,
testeo_ligas_europa,Spain_Copa_del_Rey,2024-2025,Real Madrid CF,Real_Madrid_CF,e83ula4wockmc2xid7185kcq2,J. Bellingham,Midfielder,5,5.0,359.0,1.0,10.0,3.0,4.0,4.0,7.0,0.0,,1.0,129.0,23.0,7.0,43.0,36.0,2.0,18.0,59.0,43.0,5.0,2.0,152.0,8.0,23.0,6.0,242.0,28.0,2.0,62.0,10.0,2.0,135.0,12.0,20.0,2.0,51.0,27.0,2.0,,123.0,12.0,2.0,23.0,5.0,158.0,4.0,5.0,2.0,,42.0,77.0,15.0,39.0,13.0,8.0,6.0,14.0,13.0,10.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,5.0,3.0,1.0,,,3.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,,,,,,,,
testeo_ligas_europa,Spain_Copa_del_Rey,2024-2025,Real Madrid CF,Real_Madrid_CF,en2c7z1raqmcwee78297pbnu2,E. Camavinga,Midfielder,6,6.0,291.0,1.0,10.0,3.0,4.0,4.0,6.0,0.0,3.0,1.0,191.0,17.0,18.0,28.0,37.0,,13.0,119.0,67.0,4.0,1.0,208.0,3.0,14.0,5.0,288.0,40.0,3.0,45.0,17.0,14.0,198.0,11.0,5.0,,71.0,27.0,9.0,1.0,187.0,4.0,5.0,8.0,6.0,215.0,4.0,8.0,10.0,,40.0,80.0,13.0,31.0,2.0,1.0,6.0,3.0,6.0,4.0,1.0,3.0,,,1.0,0.0,1.0,7.0,,1.0,2.0,2.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Spain_Copa_del_Rey,2024-2025,Real Madrid CF,Real_Madrid_CF,i48mf81fxn2af1xxjzfi8gr9,Dani Ceballos,Midfielder,19,,273.0,,10.0,3.0,5.0,5.0,1.0,0.0,2.0,2.0,195.0,20.0,8.0,30.0,47.0,3.0,17.0,94.0,65.0,3.0,1.0,215.0,3.0,13.0,6.0,279.0,31.0,2.0,32.0,24.0,4.0,203.0,11.0,1.0,1.0,80.0,19.0,9.0,,192.0,,2.0,14.0,2.0,223.0,12.0,4.0,4.0,2.0,31.0,111.0,12.0,19.0,4.0,1.0,3.0,8.0,1.0,1.0,,,,,,,,9.0,,1.0,5.0,,,5.0,,2.0,,3.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
testeo_ligas_europa,Spain_Copa_del_Rey,2024-2025,Real Madrid CF,Real_Madrid_CF,6crmq7vzqts58wg196q48sc7p,T. Courtois,Goalkeeper,1,1.0,120.0,,10.0,1.0,1.0,1.0,3.0,0.0,,,8.0,14.0,,14.0,3.0,,,14.0,26.0,14.0,,16.0,,1.0,,49.0,,,1.0,17.0,,19.0,6.0,,,4.0,,1.0,,13.0,,,13.0,,33.0,,,,9.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,11.0,1.0,3.0,4.0,6.0,,4.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
testeo_ligas_europa,Spain_Copa_del_Rey,2024-2025,Real Madrid CF,Real_Madrid_CF,3jln1gzc0859ymphvq83i0mp5,Brahim Díaz,Midfielder,21,2.0,275.0,,10.0,3.0,6.0,6.0,3.0,0.0,2.0,3.0,172.0,19.0,2.0,50.0,47.0,1.0,18.0,38.0,52.0,1.0,10.0,191.0,18.0,25.0,1.0,260.0,51.0,1.0,38.0,13.0,,174.0,6.0,4.0,1.0,43.0,13.0,,,168.0,,,20.0,3.0,193.0,4.0,2.0,,,34.0,138.0,21.0,13.0,8.0,4.0,8.0,3.0,31.0,11.0,,7.0,,,,,,6.0,3.0,4.0,1.0,2.0,2.0,,6.0,2.0,3.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,1.0,,,,,2.0,,,,,,,
testeo_ligas_europa,Spain_Copa_del_Rey,2024-2025,Real Madrid CF,Real_Madrid_CF,39c5g6782qlrtw55fsre7exnt,Fran García,Defender,20,3.0,417.0,,10.0,3.0,6.0,6.0,5.0,0.0,1.0,3.0,167.0,32.0,9.0,52.0,16.0,6.0,20.0,75.0,69.0,12.0,,199.0,2.0,14.0,7.0,311.0,54.0,4.0,30.0,28.0,43.0,171.0,8.0,2.0,6.0,64.0,15.0,17.0,2.0,163.0,1.0,,21.0,,203.0,14.0,4.0,5.0,9.0,28.0,99.0,13.0,16.0,3.0,1.0,3.0,3.0,5.0,,,,2.0,,,,,,,,5.0,1.0,2.0,,4.0,3.0,2.0,,,2.0,3.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,
