liga,temporada,equipo,id,nombre,posicion,dorsal,Goals Conceded Inside Box,Rightside Passes,Saves made - parried,Aerial Duels,Index,Successful Passes Opposition Half,Goalkeeper Smother,Total Fouls Won,Unsuccessful Long Passes,Penalties Faced,Leftside Passes,Successful Open Play Passes,Substitute Off,Foul Attempted Tackle,Unsuccessful Passes Own Half,Recoveries,Penalty Goals Conceded,Successful Long Passes,Forward Passes,GK Successful Distribution,Total Fouls Conceded,Total Clearances,Penalties Saved,Punches,Time Played,Unsuccessful Passes Opposition Half,Straight Red Cards,Ground Duels won,Aerial Duels won,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Passes Own Half,Clean Sheets,Touches,Duels won,Open Play Passes,Goal Kicks,Ground Duels,Saves Made from Outside Box,Catches,Total Unsuccessful Passes ( Excl Crosses & Corners ),Penalties Conceded,Saves from Penalty,Total Red Cards,Successful Short Passes,Yellow Cards,Duels,Total Passes,GK Unsuccessful Distribution,Saves Made,Unsuccessful Launches,Drops,Goals Conceded,Total Losses Of Possession,Games Played,Successful Launches,Starts,Duels lost,Saves Made from Inside Box,Ground Duels lost,Goals Conceded Outside Box,Appearances,Winning Goal,Unsuccessful Crosses & Corners,Unsuccessful Short Passes,Unsuccessful Dribbles,Times Tackled,PutThrough/Blocked Distribution,Backward Passes,Unsuccessful Crosses open play,Substitute On,Total Touches In Opposition Box,Successful Dribbles,Throw Ins to Own Player,Corners Won,Successful Crosses & Corners,Blocks,Overruns,Total Tackles,Handballs conceded,Shots Off Target (inc woodwork),Tackles Won,Tackles Lost,Total Shots,Blocked Shots,Aerial Duels lost,Shots On Target ( inc goals ),Successful Lay-offs,Interceptions,Key Passes (Attempt Assists),Assists (Intentional),Offsides,PutThrough/Blocked Distribution Won,Successful Crosses open play,Attempts from Set Pieces,Throw Ins to Opposition Player,Goal Assists,Hit Woodwork,Unsuccessful Corners into Box,Left Foot Goals,Unsuccessful lay-offs,Foul Won Penalty,Through balls,Successful Corners into Box,Goals from Outside Box,Right Foot Goals,Corners Taken (incl short corners),Goals Openplay,Second Goal Assists,Penalties Taken,Headed Goals,Goals from Inside Box,Goals,Home Goals,Away Goals,Last Player Tackle,Own Goal Scored,Saves made - caught,Red Cards - 2nd Yellow,Clearances Off the Line,Penalty Goals,Other Goals,Set Pieces Goals,Crosses not Claimed,Penalties Off Target,Carries,Progressive Carries,Total Big Chances Created,Total Big Chances Missed,Final Third Touches,Total Big Chances Scored,Total Big Chances Saved
Spain_Primera_Division,2024-2025,Real Madrid CF,4luj0v1ttpt61sniftg4bxrtg,Diego Aguado,Defender,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,4kob1sqi695a8rwn3r3d2a6ms,Lorenzo Aguado,Defender,39,,,,,10.0,,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,,,4.0,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,2.0,,,1.0,,1.0,,2.0,0.0,,,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,6w5wyari2p4bh2zzy2x2f6hg5,D. Alaba,Defender,4,3.0,68.0,,5.0,10.0,52.0,,,14.0,,72.0,193.0,3.0,1.0,1.0,8.0,1.0,8.0,72.0,7.0,2.0,7.0,,,316.0,20.0,,1.0,4.0,204.0,152.0,,250.0,5.0,211.0,7.0,3.0,,,18.0,,,,196.0,1.0,8.0,222.0,,,3.0,,4.0,23.0,7.0,2.0,4.0,3.0,,2.0,1.0,7.0,0.0,3.0,4.0,,,2.0,10.0,3.0,3.0,2.0,,2.0,1.0,,5.0,,1.0,,,,1.0,,,1.0,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,e30x514qvzadcryj2zhoss26s,Chema Andrés,Midfielder,36,,,,2.0,10.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,10.0,,,,1.0,1.0,1.0,,3.0,1.0,1.0,,1.0,,,,,,,1.0,,3.0,1.0,,,,,,1.0,2.0,,,2.0,,1.0,,2.0,0.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,atj6u4qul0o2ca57etbmes07o,Raúl Asencio,Defender,35,15.0,277.0,,46.0,10.0,253.0,,19.0,24.0,,342.0,867.0,5.0,10.0,22.0,75.0,2.0,30.0,284.0,20.0,12.0,83.0,,,1673.0,38.0,,46.0,31.0,919.0,666.0,6.0,1182.0,77.0,926.0,20.0,67.0,,,60.0,,,,889.0,3.0,113.0,979.0,,,11.0,,16.0,72.0,23.0,4.0,18.0,36.0,,21.0,1.0,23.0,0.0,,36.0,,6.0,7.0,76.0,,5.0,11.0,6.0,8.0,1.0,,6.0,,22.0,,2.0,16.0,6.0,3.0,,15.0,1.0,3.0,16.0,5.0,1.0,1.0,5.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,e83ula4wockmc2xid7185kcq2,J. Bellingham,Midfielder,5,30.0,519.0,,62.0,71.0,861.0,,64.0,24.0,,327.0,1285.0,9.0,23.0,20.0,97.0,1.0,67.0,356.0,,33.0,21.0,,,2494.0,185.0,1.0,166.0,30.0,1321.0,461.0,4.0,2042.0,196.0,1472.0,,282.0,,,188.0,,,1.0,1254.0,5.0,344.0,1509.0,,,3.0,,33.0,342.0,31.0,1.0,29.0,148.0,,116.0,3.0,31.0,3.0,17.0,164.0,28.0,71.0,62.0,307.0,17.0,2.0,119.0,41.0,11.0,21.0,1.0,2.0,2.0,61.0,,24.0,33.0,28.0,47.0,15.0,32.0,23.0,62.0,28.0,34.0,6.0,9.0,35.0,1.0,,,8.0,2.0,,2.0,1.0,1.0,22.0,,,5.0,1.0,,,2.0,2.0,9.0,9.0,3.0,6.0,,,,,,1.0,,,,1.0,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,en2c7z1raqmcwee78297pbnu2,E. Camavinga,Midfielder,6,9.0,234.0,,40.0,10.0,359.0,,31.0,15.0,,173.0,660.0,3.0,14.0,29.0,90.0,1.0,28.0,207.0,,21.0,19.0,,,1096.0,57.0,,86.0,22.0,677.0,318.0,4.0,1016.0,108.0,744.0,,141.0,,,84.0,1.0,,,649.0,2.0,181.0,761.0,,,3.0,,10.0,124.0,19.0,,11.0,73.0,,55.0,1.0,19.0,1.0,2.0,69.0,10.0,21.0,27.0,147.0,2.0,8.0,16.0,15.0,23.0,5.0,,8.0,3.0,42.0,1.0,2.0,26.0,16.0,4.0,4.0,18.0,2.0,21.0,18.0,9.0,,1.0,16.0,,,2.0,2.0,,,1.0,,,4.0,,1.0,,,,,,,,1.0,0.0,1.0,,,,,1.0,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,7oykphzczagr975xsqt70s89h,Dani Carvajal,Defender,2,3.0,26.0,,12.0,20.0,203.0,,6.0,5.0,,185.0,347.0,2.0,1.0,13.0,21.0,,12.0,104.0,,3.0,14.0,,,609.0,48.0,,20.0,7.0,354.0,152.0,3.0,548.0,27.0,395.0,,35.0,,,48.0,,,,342.0,2.0,47.0,402.0,,,1.0,,3.0,81.0,8.0,1.0,7.0,20.0,,15.0,,8.0,0.0,13.0,43.0,3.0,9.0,14.0,87.0,13.0,1.0,12.0,2.0,44.0,2.0,1.0,3.0,,12.0,,1.0,8.0,4.0,2.0,1.0,5.0,1.0,6.0,10.0,5.0,,,5.0,1.0,,2.0,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,i48mf81fxn2af1xxjzfi8gr9,Dani Ceballos,Midfielder,19,11.0,434.0,,4.0,10.0,739.0,,30.0,17.0,,358.0,1234.0,11.0,8.0,19.0,87.0,1.0,45.0,373.0,1.0,13.0,10.0,,,1218.0,55.0,,78.0,3.0,1265.0,531.0,3.0,1524.0,81.0,1298.0,1.0,120.0,,,65.0,,,,1220.0,4.0,124.0,1330.0,,,2.0,,11.0,98.0,23.0,3.0,15.0,43.0,,42.0,,23.0,0.0,9.0,48.0,3.0,10.0,25.0,165.0,6.0,8.0,10.0,8.0,14.0,4.0,5.0,4.0,,41.0,1.0,2.0,21.0,20.0,5.0,2.0,1.0,3.0,16.0,14.0,22.0,,,12.0,1.0,,,,,2.0,,,,4.0,4.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,6crmq7vzqts58wg196q48sc7p,T. Courtois,Goalkeeper,1,28.0,254.0,20.0,9.0,34.0,36.0,,2.0,160.0,3.0,211.0,547.0,,,42.0,236.0,3.0,83.0,381.0,283.0,,24.0,,9.0,2700.0,125.0,,1.0,9.0,679.0,643.0,11.0,1146.0,10.0,662.0,148.0,2.0,28.0,15.0,167.0,,,,596.0,1.0,11.0,846.0,38.0,77.0,106.0,1.0,29.0,173.0,30.0,17.0,30.0,1.0,48.0,1.0,1.0,30.0,0.0,,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,3jln1gzc0859ymphvq83i0mp5,Brahim Díaz,Midfielder,21,16.0,137.0,,17.0,20.0,402.0,,34.0,7.0,,182.0,553.0,11.0,9.0,14.0,54.0,2.0,9.0,135.0,,14.0,2.0,,,1380.0,67.0,,83.0,3.0,564.0,163.0,4.0,915.0,86.0,627.0,,154.0,,,74.0,,,,555.0,,171.0,638.0,,,1.0,,16.0,178.0,31.0,,16.0,85.0,,71.0,,31.0,1.0,7.0,67.0,19.0,46.0,28.0,184.0,7.0,15.0,72.0,24.0,8.0,6.0,1.0,1.0,1.0,25.0,1.0,5.0,19.0,6.0,22.0,6.0,14.0,17.0,22.0,4.0,21.0,1.0,1.0,15.0,1.0,,,2.0,3.0,,3.0,,,8.0,,,1.0,,,,,,4.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,39c5g6782qlrtw55fsre7exnt,Fran García,Defender,20,22.0,474.0,,38.0,67.0,725.0,,22.0,40.0,,83.0,1139.0,5.0,11.0,61.0,106.0,2.0,33.0,413.0,,13.0,52.0,,,2174.0,137.0,,81.0,17.0,1169.0,457.0,7.0,1853.0,98.0,1283.0,,142.0,,,145.0,,,,1136.0,,180.0,1314.0,,,31.0,,23.0,252.0,31.0,8.0,24.0,82.0,,61.0,1.0,31.0,0.0,53.0,105.0,15.0,25.0,60.0,344.0,53.0,7.0,33.0,8.0,162.0,18.0,13.0,5.0,,51.0,,6.0,36.0,15.0,9.0,5.0,21.0,3.0,3.0,28.0,22.0,2.0,4.0,22.0,13.0,,7.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,4o9d3hpjlicgce9gtbewyzhn8,Gonzalo García,Forward,30,,,,1.0,10.0,15.0,,,,,13.0,19.0,,,,1.0,,1.0,1.0,,,,,,53.0,1.0,,,1.0,19.0,4.0,,26.0,1.0,20.0,,3.0,,,1.0,,,,18.0,,4.0,20.0,,,,,,4.0,3.0,,,3.0,,3.0,,3.0,0.0,,1.0,,3.0,1.0,6.0,,3.0,5.0,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,42mke5h9m4g7idv9q6ltuhkwk,Fran González,Goalkeeper,26,2.0,2.0,,,10.0,,,,1.0,,7.0,11.0,,,,4.0,,3.0,8.0,7.0,,2.0,,,90.0,1.0,,,,16.0,16.0,,23.0,,12.0,4.0,,,1.0,1.0,,,,13.0,,,17.0,,,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,39gif4xfy8xddarasbsad56ok,A. Güler,Midfielder,15,16.0,152.0,,19.0,27.0,530.0,,31.0,12.0,,310.0,712.0,12.0,12.0,13.0,56.0,,42.0,200.0,,15.0,8.0,,,1247.0,109.0,,80.0,8.0,733.0,220.0,1.0,1120.0,88.0,792.0,,136.0,,,82.0,,,,691.0,1.0,155.0,815.0,,,2.0,,17.0,179.0,28.0,1.0,14.0,67.0,,56.0,1.0,28.0,1.0,40.0,70.0,20.0,29.0,31.0,153.0,6.0,14.0,54.0,20.0,13.0,8.0,17.0,,4.0,30.0,1.0,8.0,16.0,14.0,25.0,14.0,11.0,17.0,15.0,7.0,36.0,2.0,4.0,18.0,6.0,2.0,,4.0,,26.0,2.0,,1.0,10.0,11.0,1.0,1.0,47.0,,,,,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,9650u1owvf264fwnuzc0zlfro,David Jiménez,Defender,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,2ww626a9v31b072prdx0xf1g4,Y. Enríquez,Defender,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,38bp85766w04a0nuulq5fiig9,A. Lunin,Goalkeeper,13,5.0,38.0,2.0,2.0,10.0,9.0,1.0,1.0,25.0,,59.0,97.0,,,14.0,49.0,,27.0,74.0,69.0,,8.0,,5.0,630.0,12.0,,2.0,2.0,145.0,136.0,4.0,228.0,4.0,117.0,45.0,2.0,6.0,2.0,26.0,,,,118.0,,4.0,171.0,5.0,13.0,8.0,,7.0,28.0,7.0,2.0,7.0,,7.0,,2.0,7.0,0.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,1riebanoqbl7brs1bm3lkgxlg,Mario Martín,Midfielder,28,44.0,208.0,,65.0,10.0,249.0,,44.0,26.0,,238.0,642.0,10.0,34.0,44.0,83.0,2.0,34.0,196.0,,50.0,46.0,,,1749.0,78.0,2.0,125.0,31.0,674.0,426.0,1.0,1188.0,156.0,752.0,,241.0,,,112.0,1.0,,3.0,640.0,6.0,306.0,786.0,,,7.0,,48.0,202.0,30.0,3.0,20.0,150.0,,116.0,4.0,30.0,0.0,10.0,86.0,15.0,38.0,39.0,144.0,8.0,10.0,26.0,19.0,2.0,5.0,1.0,7.0,3.0,62.0,,7.0,32.0,30.0,20.0,8.0,34.0,13.0,23.0,21.0,12.0,1.0,1.0,25.0,1.0,,,1.0,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Spain_Primera_Division,2024-2025,Real Madrid CF,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,Forward,9,30.0,373.0,,10.0,40.0,800.0,,40.0,12.0,,265.0,878.0,11.0,9.0,14.0,36.0,3.0,45.0,209.0,,25.0,,,,2915.0,176.0,1.0,131.0,4.0,933.0,139.0,5.0,1734.0,135.0,1039.0,,297.0,,,161.0,,,1.0,888.0,3.0,307.0,1094.0,,,,,32.0,434.0,34.0,,34.0,172.0,,166.0,2.0,34.0,8.0,29.0,149.0,91.0,140.0,36.0,247.0,29.0,,363.0,83.0,10.0,51.0,6.0,,14.0,8.0,3.0,37.0,5.0,3.0,122.0,39.0,6.0,85.0,63.0,1.0,48.0,3.0,44.0,3.0,6.0,3.0,1.0,3.0,4.0,,4.0,6.0,3.0,6.0,,5.0,27.0,6.0,,1.0,9.0,,26.0,31.0,17.0,14.0,,,,,,7.0,,1.0,,,,,,,,,
