dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
9,Endrick,Real Madrid CF,Real_Madrid_CF,Primera División,Attacker,Brazil,14qv8npo5alwnb5dud8x82ln8,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,80zg2v1cuqcfhphn56u4qpyqc,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/14qv8npo5alwnb5dud8x82ln8
12,,Real Madrid CF,Real_Madrid_CF,Primera División,Defender,England,19z8jmren3eytg7fbuzqv73kl,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,80zg2v1cuqcfhphn56u4qpyqc,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/19z8jmren3eytg7fbuzqv73kl
30,,Real Madrid CF,Real_Madrid_CF,Primera División,Attacker,Argentina,1fkntyd2z8e169yh98k0zst90,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,80zg2v1cuqcfhphn56u4qpyqc,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1fkntyd2z8e169yh98k0zst90
8,,Real Madrid CF,Real_Madrid_CF,Primera División,Midfielder,Uruguay,1i9wi65k2foqwudeqiyih87hl,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,80zg2v1cuqcfhphn56u4qpyqc,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1i9wi65k2foqwudeqiyih87hl
,,Real Madrid CF,Real_Madrid_CF,Primera División,Midfielder,Spain,2i7mscwsjthry9530usbtbklw,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,80zg2v1cuqcfhphn56u4qpyqc,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2i7mscwsjthry9530usbtbklw
37,,Real Madrid CF,Real_Madrid_CF,Primera División,Midfielder,Spain,2spn42sn73gxwyt6ucobiknl6,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,80zg2v1cuqcfhphn56u4qpyqc,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2spn42sn73gxwyt6ucobiknl6
13,,Real Madrid CF,Real_Madrid_CF,Primera División,Goalkeeper,Ukraine,38bp85766w04a0nuulq5fiig9,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,80zg2v1cuqcfhphn56u4qpyqc,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/38bp85766w04a0nuulq5fiig9
20,Fran García,Real Madrid CF,Real_Madrid_CF,Primera División,Defender,Spain,39c5g6782qlrtw55fsre7exnt,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,80zg2v1cuqcfhphn56u4qpyqc,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/39c5g6782qlrtw55fsre7exnt
15,,Real Madrid CF,Real_Madrid_CF,Primera División,Midfielder,Türkiye,39gif4xfy8xddarasbsad56ok,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,80zg2v1cuqcfhphn56u4qpyqc,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/39gif4xfy8xddarasbsad56ok
21,,Real Madrid CF,Real_Madrid_CF,Primera División,Midfielder,Morocco,3jln1gzc0859ymphvq83i0mp5,3kq9cckrnlogidldtdie2fkbl,34pl8szyvrbwcmfkuocjm3r6t,80zg2v1cuqcfhphn56u4qpyqc,https://www.scoresway.com/en_GB/soccer/primera-división-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3jln1gzc0859ymphvq83i0mp5
