liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Assists (Intentional),Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Clearances Off the Line,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Overruns,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Saved,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Winning Goal,Penalties Conceded,Shots On Target ( inc goals ),Through balls,Corners Taken (incl short corners),Goals,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Hit Woodwork,Left Foot Goals,Own Goal Scored,Right Foot Goals,Successful Corners into Box,Total Big Chances Missed,Total Big Chances Scored,Unsuccessful Corners into Box,Unsuccessful lay-offs,Home Goals,Away Goals,Headed Goals,Penalties Taken,Penalty Goals,Red Cards - 2nd Yellow,Total Red Cards,Foul Won Penalty,Second Goal Assists,Attempts from Set Pieces,GK Successful Distribution,Goal Kicks,Last Player Tackle,Straight Red Cards,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Penalties Saved,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves from Penalty,Saves made - caught,Saves made - parried,Penalties Off Target,Crosses not Claimed,Direct Setpiece Goals,Set Pieces Goals,Other Goals
Spain_Primera_Division,2025-2026,Real Madrid CF,4luj0v1ttpt61sniftg4bxrtg,Diego Aguado,Defender,27,,,,1.0,,5.0,,1.0,2.0,,,,5.0,3.0,2.0,2.0,7.0,,1.0,,1.0,1.0,,5.0,3.0,2.0,,,,2.0,,17.0,,,1.0,1.0,1.0,2.0,3.0,,,,,1.0,,,,,,1.0,14.0,5.0,9.0,13.0,1.0,1.0,,,29.0,2.0,,1.0,2.0,,,5.0,17.0,,14.0,2.0,,3.0,25.0,,,,2.0,3.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,6w5wyari2p4bh2zzy2x2f6hg5,D. Alaba,Defender,4,10.0,5.0,5.0,8.0,,8.0,1.0,4.0,48.0,,,2.0,17.0,7.0,10.0,11.0,76.0,,8.0,,3.0,2.0,1.0,7.0,2.0,5.0,,,,56.0,,211.0,,1.0,31.0,,,8.0,79.0,,1.0,3.0,2.0,5.0,,,,,,4.0,197.0,86.0,118.0,200.0,1.0,4.0,,1.0,244.0,,,,12.0,1.0,,16.0,219.0,2.0,204.0,5.0,1.0,15.0,248.0,,,,2.0,10.0,11.0,4.0,5.0,1.0,0.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,19z8jmren3eytg7fbuzqv73kl,T. Alexander-Arnold,Defender,12,6.0,3.0,3.0,15.0,2.0,79.0,1.0,2.0,120.0,,1.0,7.0,34.0,19.0,15.0,289.0,151.0,1.0,15.0,4.0,11.0,8.0,3.0,28.0,16.0,12.0,,12.0,14.0,269.0,,536.0,,1.0,60.0,12.0,1.0,28.0,50.0,18.0,4.0,9.0,6.0,6.0,20.0,9.0,2.0,2.0,3.0,42.0,459.0,323.0,166.0,427.0,4.0,6.0,11.0,51.0,753.0,6.0,3.0,1.0,4.0,5.0,,171.0,549.0,5.0,469.0,10.0,10.0,80.0,759.0,61.0,42.0,4.0,16.0,41.0,122.0,19.0,39.0,1.0,0.0,,1.0,3.0,27.0,,,,,1.0,,,,8.0,,,16.0,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,atj6u4qul0o2ca57etbmes07o,Raúl Asencio,Defender,17,35.0,14.0,21.0,19.0,,57.0,2.0,9.0,180.0,4.0,,1.0,92.0,39.0,53.0,78.0,274.0,11.0,19.0,,12.0,10.0,2.0,57.0,25.0,32.0,,8.0,4.0,404.0,,838.0,,2.0,94.0,15.0,9.0,40.0,158.0,4.0,7.0,14.0,4.0,5.0,,,1.0,2.0,,29.0,785.0,355.0,485.0,811.0,3.0,11.0,2.0,12.0,1346.0,4.0,,,46.0,15.0,17.0,68.0,893.0,11.0,840.0,14.0,20.0,53.0,1062.0,1.0,1.0,1.0,7.0,21.0,35.0,19.0,32.0,3.0,0.0,,4.0,1.0,,2.0,,2.0,,,,,,,2.0,1.0,,,2.0,0.0,2.0,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,e83ula4wockmc2xid7185kcq2,J. Bellingham,Midfielder,5,38.0,17.0,21.0,20.0,1.0,170.0,13.0,1.0,259.0,6.0,,8.0,216.0,95.0,121.0,422.0,167.0,12.0,20.0,3.0,14.0,11.0,3.0,178.0,78.0,100.0,3.0,12.0,28.0,221.0,1.0,831.0,2.0,1.0,111.0,32.0,20.0,74.0,289.0,31.0,4.0,15.0,4.0,5.0,3.0,3.0,23.0,,45.0,46.0,741.0,532.0,228.0,711.0,13.0,30.0,,2.0,1338.0,45.0,3.0,,13.0,27.0,34.0,168.0,847.0,23.0,757.0,43.0,83.0,90.0,1160.0,6.0,6.0,21.0,5.0,16.0,84.0,12.0,74.0,1.0,2.0,,19.0,3.0,,4.0,1.0,3.0,1.0,,,,3.0,,6.0,3.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,en2c7z1raqmcwee78297pbnu2,E. Camavinga,Midfielder,6,15.0,7.0,8.0,22.0,,143.0,2.0,6.0,193.0,2.0,,4.0,158.0,59.0,99.0,251.0,190.0,18.0,22.0,,11.0,8.0,3.0,143.0,52.0,91.0,1.0,12.0,11.0,256.0,1.0,839.0,,2.0,78.0,26.0,18.0,71.0,267.0,11.0,6.0,13.0,7.0,9.0,,,12.0,1.0,34.0,37.0,768.0,467.0,317.0,747.0,22.0,32.0,,10.0,1217.0,14.0,2.0,,20.0,28.0,25.0,115.0,856.0,8.0,784.0,54.0,17.0,72.0,1097.0,2.0,2.0,6.0,2.0,15.0,61.0,13.0,57.0,1.0,0.0,,2.0,4.0,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,a4kw8u4dqsslfwe1ux08lbmc,Álvaro Carreras,Defender,18,50.0,23.0,27.0,25.0,1.0,221.0,3.0,7.0,319.0,10.0,1.0,9.0,195.0,90.0,105.0,578.0,550.0,9.0,25.0,2.0,20.0,16.0,4.0,145.0,67.0,78.0,,35.0,23.0,152.0,5.0,1461.0,3.0,4.0,182.0,46.0,26.0,138.0,575.0,25.0,3.0,23.0,2.0,2.0,3.0,3.0,15.0,4.0,8.0,32.0,1319.0,860.0,499.0,1324.0,18.0,17.0,11.0,166.0,2064.0,32.0,1.0,,56.0,17.0,29.0,239.0,1498.0,5.0,1356.0,35.0,33.0,142.0,2026.0,27.0,27.0,16.0,18.0,35.0,124.0,45.0,107.0,5.0,1.0,,2.0,1.0,,2.0,2.0,2.0,,,1.0,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,7oykphzczagr975xsqt70s89h,Dani Carvajal,Defender,2,11.0,7.0,4.0,12.0,,82.0,1.0,6.0,51.0,1.0,,1.0,46.0,24.0,22.0,141.0,107.0,3.0,12.0,,7.0,7.0,,35.0,17.0,18.0,1.0,4.0,7.0,149.0,,352.0,,3.0,24.0,12.0,5.0,24.0,25.0,7.0,2.0,7.0,5.0,5.0,2.0,2.0,1.0,1.0,,15.0,327.0,190.0,150.0,323.0,2.0,8.0,5.0,47.0,659.0,5.0,3.0,,17.0,5.0,7.0,47.0,363.0,3.0,338.0,10.0,4.0,25.0,501.0,5.0,5.0,2.0,1.0,3.0,21.0,9.0,22.0,,0.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,i48mf81fxn2af1xxjzfi8gr9,Dani Ceballos,Midfielder,19,4.0,3.0,1.0,15.0,,49.0,,4.0,121.0,,,1.0,66.0,29.0,37.0,133.0,114.0,5.0,15.0,,5.0,5.0,,62.0,26.0,36.0,,7.0,9.0,144.0,,422.0,,1.0,55.0,20.0,10.0,37.0,131.0,9.0,3.0,4.0,4.0,11.0,,,3.0,,4.0,15.0,390.0,273.0,133.0,391.0,7.0,11.0,,4.0,466.0,12.0,,,5.0,6.0,15.0,51.0,438.0,3.0,406.0,18.0,8.0,32.0,529.0,3.0,2.0,10.0,1.0,2.0,21.0,14.0,30.0,1.0,0.0,,,2.0,4.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,ecmpznived7xp45o7bm96csno,Cestero,Midfielder,28,,,,2.0,,1.0,,,,,,,3.0,2.0,1.0,1.0,2.0,,2.0,,,,,3.0,2.0,1.0,,,,2.0,,6.0,,,,,,,1.0,,,,,2.0,,,,,,,4.0,1.0,3.0,4.0,1.0,,,,12.0,,,,1.0,,,2.0,6.0,,4.0,1.0,,2.0,8.0,,,,,1.0,2.0,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,6crmq7vzqts58wg196q48sc7p,T. Courtois,Goalkeeper,1,6.0,1.0,5.0,28.0,,,,,141.0,11.0,,,13.0,5.0,8.0,,426.0,1.0,28.0,,24.0,20.0,4.0,7.0,4.0,3.0,,,1.0,190.0,,675.0,,4.0,54.0,1.0,,196.0,222.0,1.0,,28.0,,,,,,23.0,,103.0,556.0,55.0,612.0,564.0,,1.0,,,2520.0,,1.0,16.0,17.0,1.0,2.0,174.0,838.0,,667.0,1.0,,171.0,1056.0,,,,112.0,168.0,136.0,35.0,3.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,120.0,,,15.0,2.0,26.0,4.0,4.0,,4.0,58.0,36.0,21.0,,1.0,14.0,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,buzh1oolanqmxdm3bqt1sfqxg,Dani Meso,Midfielder,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,3jln1gzc0859ymphvq83i0mp5,Brahim Díaz,Midfielder,21,8.0,7.0,1.0,22.0,3.0,93.0,3.0,,118.0,,,6.0,99.0,52.0,47.0,270.0,59.0,6.0,22.0,4.0,6.0,5.0,1.0,91.0,45.0,46.0,,1.0,11.0,103.0,3.0,323.0,2.0,,56.0,11.0,3.0,35.0,77.0,15.0,3.0,7.0,7.0,15.0,3.0,3.0,13.0,,11.0,6.0,295.0,242.0,65.0,298.0,4.0,7.0,,3.0,752.0,33.0,4.0,,3.0,12.0,22.0,101.0,332.0,5.0,304.0,11.0,44.0,28.0,487.0,8.0,6.0,12.0,,,34.0,2.0,28.0,1.0,0.0,,2.0,4.0,4.0,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,14qv8npo5alwnb5dud8x82ln8,Endrick,Forward,9,,,,1.0,,,,,1.0,,,,2.0,,2.0,4.0,,,1.0,,,,,2.0,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,11.0,,,,,,1.0,1.0,,,,,2.0,,4.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,3wieudlmb1vnm7kvdcn4sfok4,Lamini Fati,Defender,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain_Primera_Division,2025-2026,Real Madrid CF,8knybibneen7qx8jdg9voh7v8,Jesús Fortea,Defender,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
