dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
16,Endrick,Real Madrid CF,UEFA Champions League,Attacker,Brazil,14qv8npo5alwnb5dud8x82ln8,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/14qv8npo5alwnb5dud8x82ln8
8,F. Valverde,Real Madrid CF,UEFA Champions League,Midfielder,Uruguay,1i9wi65k2foqwudeqiyih87hl,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1i9wi65k2foqwudeqiyih87hl
,Mario Martín,Real Madrid CF,UEFA Champions League,Midfielder,Spain,1riebanoqbl7brs1bm3lkgxlg,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1riebanoqbl7brs1bm3lkgxlg
31,Jacobo Ramón,Real Madrid CF,UEFA Champions League,Defender,Spain,2b1aq7e51fjbukd3muxfthd78,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2b1aq7e51fjbukd3muxfthd78
40,Hugo de Llanos,Real Madrid CF,UEFA Champions League,Midfielder,Spain,2i7mscwsjthry9530usbtbklw,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2i7mscwsjthry9530usbtbklw
29,Y. Lekhedim,Real Madrid CF,UEFA Champions League,Defender,Morocco,2ww626a9v31b072prdx0xf1g4,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2ww626a9v31b072prdx0xf1g4
13,A. Lunin,Real Madrid CF,UEFA Champions League,Goalkeeper,Ukraine,38bp85766w04a0nuulq5fiig9,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/38bp85766w04a0nuulq5fiig9
20,Fran García,Real Madrid CF,UEFA Champions League,Defender,Spain,39c5g6782qlrtw55fsre7exnt,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/39c5g6782qlrtw55fsre7exnt
15,A. Güler,Real Madrid CF,UEFA Champions League,Midfielder,Türkiye,39gif4xfy8xddarasbsad56ok,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/39gif4xfy8xddarasbsad56ok
21,Brahim Díaz,Real Madrid CF,UEFA Champions League,Midfielder,Morocco,3jln1gzc0859ymphvq83i0mp5,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3jln1gzc0859ymphvq83i0mp5
34,Sergio Mestre,Real Madrid CF,UEFA Champions League,Goalkeeper,Spain,3krfyio6dlb6gkoggsmqwkj6c,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3krfyio6dlb6gkoggsmqwkj6c
,Valde,Real Madrid CF,UEFA Champions League,Defender,Spain,3pxte13sf3ybzb3cgvim1tqtw,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3pxte13sf3ybzb3cgvim1tqtw
,César Palacios,Real Madrid CF,UEFA Champions League,Midfielder,Spain,3r4r3w44ski0d4175zfe1iy38,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3r4r3w44ski0d4175zfe1iy38
43,Daniel Yáñez,Real Madrid CF,UEFA Champions League,Attacker,Spain,3r8kqt2bz34yw8e2h4jdp96hg,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3r8kqt2bz34yw8e2h4jdp96hg
26,Fran González,Real Madrid CF,UEFA Champions League,Goalkeeper,Spain,42mke5h9m4g7idv9q6ltuhkwk,3kq9cckrnlogidldtdie2fkbl,4oogyu6o156iphvdvphwpck10,bam3j6qs1v79osuz7nwgy4rh0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2024-2025/bam3j6qs1v79osuz7nwgy4rh0/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/42mke5h9m4g7idv9q6ltuhkwk
