liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Long Passes,Forward Passes,Starts,Successful Short Passes,Total Fouls Conceded,Duels,Goal Assists,Unsuccessful Launches,Unsuccessful Dribbles,Appearances,Substitute On,Leftside Passes,Key Passes (Attempt Assists),Unsuccessful lay-offs,Substitute Off,Unsuccessful Crosses & Corners,Rightside Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Ground Duels lost,Successful Open Play Passes,Goals,Unsuccessful Crosses open play,Right Foot Goals,Successful Passes Own Half,Goals Conceded Outside Box,Time Played,Successful Lay-offs,Aerial Duels won,Assists (Intentional),Total Fouls Won,Tackles Won,Successful Dribbles,Shots Off Target (inc woodwork),Interceptions,Attempts from Set Pieces,Successful Long Passes,Backward Passes,Successful Passes Opposition Half,Duels lost,Goals from Inside Box,Aerial Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,Recoveries,Unsuccessful Short Passes,PutThrough/Blocked Distribution,Goals Conceded,Blocks,Total Losses Of Possession,Total Touches In Opposition Box,Games Played,Total Clearances,Times Tackled,Ground Duels won,Corners Won,Total Tackles,Total Passes,Foul Attempted Tackle,Unsuccessful Passes Opposition Half,Ground Duels,Through balls,Total Shots,Index,Aerial Duels,Duels won,Tackles Lost,PutThrough/Blocked Distribution Won,Touches,Goals Conceded Inside Box,Blocked Shots,Shots On Target ( inc goals ),Home Goals,Away Goals,Winning Goal,Successful Launches,Throw Ins to Opposition Player,Successful Crosses & Corners,Successful Crosses open play,Throw Ins to Own Player,Yellow Cards,Unsuccessful Passes Own Half,Offsides,Overruns,Hit Woodwork,Unsuccessful Corners into Box,Corners Taken (incl short corners),Clean Sheets,Penalty Goals Conceded,Successful Corners into Box,Penalties Taken,Headed Goals,Left Foot Goals,Other Goals,Penalty Goals,Total Red Cards,Red Cards - 2nd Yellow,Penalties Conceded,GK Unsuccessful Distribution,Saves made - parried,Saves Made,Goal Kicks,Catches,Saves Made from Outside Box,GK Successful Distribution,Penalties Faced,Saves Made from Inside Box,Punches,Handballs conceded,Clearances Off the Line,Goals from Outside Box,Second Goal Assists,Own Goal Scored,Set Pieces Goals,Saves made - caught,Goalkeeper Smother,Foul Won Penalty,Saves from Penalty,Penalties Saved,Last Player Tackle,Drops,Penalties Off Target,Straight Red Cards,Crosses not Claimed,Goals Openplay
UEFA_UEFA_Champions_League,2024-2025,Real Madrid CF,4luj0v1ttpt61sniftg4bxrtg,Diego Aguado,Defender,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2024-2025,Real Madrid CF,4kob1sqi695a8rwn3r3d2a6ms,Lorenzo Aguado,Defender,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2024-2025,Real Madrid CF,6w5wyari2p4bh2zzy2x2f6hg5,D. Alaba,Defender,4,3.0,34.0,2.0,90.0,3.0,9.0,,1.0,,5.0,3.0,18.0,1.0,,2.0,2.0,35.0,92.0,4.0,90.0,,,,59.0,2.0,176.0,1.0,1.0,,1.0,2.0,,,1.0,,2.0,13.0,35.0,5.0,,1.0,8.0,98.0,3.0,5.0,2.0,5.0,1.0,12.0,2.0,5.0,3.0,,3.0,,2.0,100.0,1.0,8.0,7.0,,,10.0,2.0,4.0,,2.0,129.0,3.0,,,,,0.0,,2.0,2.0,1.0,10.0,1.0,2.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2024-2025,Real Madrid CF,e30x514qvzadcryj2zhoss26s,Chema Andrés,Midfielder,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2024-2025,Real Madrid CF,atj6u4qul0o2ca57etbmes07o,Raúl Asencio,Defender,35,16.0,98.0,8.0,359.0,3.0,42.0,1.0,13.0,,10.0,2.0,167.0,,,1.0,1.0,102.0,368.0,12.0,344.0,,1.0,,262.0,2.0,747.0,,5.0,1.0,8.0,12.0,2.0,1.0,3.0,,9.0,28.0,106.0,15.0,,3.0,27.0,371.0,34.0,11.0,8.0,12.0,6.0,36.0,7.0,10.0,24.0,4.0,22.0,1.0,12.0,395.0,1.0,13.0,34.0,1.0,1.0,10.0,8.0,27.0,,1.0,474.0,10.0,,,,,0.0,2.0,1.0,,,4.0,2.0,15.0,,,,,,,1.0,,,,,,,,,1.0,,,,14.0,,,14.0,,,,,,,,,,,,,,,3.0,,,,,
UEFA_UEFA_Champions_League,2024-2025,Real Madrid CF,e83ula4wockmc2xid7185kcq2,J. Bellingham,Midfielder,5,13.0,133.0,13.0,516.0,18.0,172.0,3.0,2.0,12.0,13.0,,158.0,20.0,1.0,6.0,7.0,187.0,544.0,72.0,527.0,3.0,7.0,2.0,213.0,2.0,1136.0,27.0,9.0,1.0,26.0,19.0,26.0,6.0,11.0,,28.0,125.0,332.0,83.0,3.0,11.0,59.0,586.0,59.0,46.0,22.0,20.0,1.0,132.0,41.0,13.0,14.0,41.0,80.0,7.0,28.0,603.0,13.0,52.0,152.0,4.0,13.0,10.0,20.0,89.0,9.0,12.0,836.0,18.0,4.0,7.0,0.0,3.0,2.0,,,1.0,1.0,4.0,3.0,14.0,2.0,,1.0,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2024-2025,Real Madrid CF,en2c7z1raqmcwee78297pbnu2,E. Camavinga,Midfielder,6,1.0,68.0,5.0,246.0,12.0,73.0,,,4.0,9.0,4.0,94.0,4.0,,3.0,1.0,84.0,270.0,24.0,264.0,,1.0,,108.0,2.0,496.0,5.0,7.0,,11.0,21.0,3.0,1.0,9.0,,24.0,40.0,162.0,26.0,,2.0,16.0,280.0,27.0,15.0,8.0,10.0,2.0,30.0,4.0,9.0,18.0,8.0,40.0,,26.0,286.0,9.0,12.0,64.0,1.0,1.0,10.0,9.0,47.0,5.0,7.0,389.0,8.0,1.0,,,,0.0,,,,,1.0,2.0,5.0,,,,,,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2024-2025,Real Madrid CF,7oykphzczagr975xsqt70s89h,Dani Carvajal,Defender,2,3.0,34.0,2.0,96.0,2.0,19.0,1.0,1.0,1.0,2.0,,57.0,2.0,,,8.0,8.0,102.0,4.0,96.0,,8.0,,63.0,,180.0,1.0,2.0,,3.0,3.0,,1.0,5.0,,6.0,20.0,40.0,7.0,,3.0,17.0,113.0,9.0,14.0,6.0,2.0,2.0,31.0,4.0,2.0,2.0,2.0,10.0,1.0,7.0,119.0,,20.0,14.0,,1.0,10.0,5.0,12.0,4.0,,168.0,2.0,,,,,0.0,1.0,2.0,1.0,1.0,9.0,,5.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2024-2025,Real Madrid CF,i48mf81fxn2af1xxjzfi8gr9,Dani Ceballos,Midfielder,19,3.0,94.0,4.0,307.0,6.0,45.0,1.0,1.0,5.0,9.0,5.0,91.0,5.0,,4.0,2.0,98.0,320.0,21.0,306.0,,,,183.0,,405.0,5.0,,1.0,7.0,10.0,1.0,2.0,2.0,,13.0,51.0,137.0,21.0,,,14.0,319.0,33.0,11.0,6.0,8.0,1.0,29.0,3.0,9.0,7.0,8.0,24.0,,16.0,334.0,6.0,13.0,45.0,2.0,2.0,10.0,,24.0,6.0,4.0,399.0,8.0,,,,,0.0,2.0,,,,2.0,1.0,3.0,,,,2.0,4.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEFA_UEFA_Champions_League,2024-2025,Real Madrid CF,6crmq7vzqts58wg196q48sc7p,T. Courtois,Goalkeeper,1,97.0,179.0,12.0,247.0,,6.0,,82.0,,12.0,,87.0,,,,,105.0,272.0,,224.0,,,,260.0,2.0,1110.0,,5.0,,1.0,,,,,,25.0,,12.0,,,,99.0,301.0,84.0,2.0,,18.0,,101.0,,12.0,9.0,,1.0,,,371.0,,75.0,1.0,,,10.0,5.0,6.0,,,512.0,16.0,,,,,0.0,7.0,,,,,,24.0,,,,,,1.0,2.0,,,,,,,,,,12.0,28.0,52.0,50.0,17.0,21.0,97.0,4.0,31.0,4.0,,,,,,,3.0,1.0,,1.0,1.0,,,,,,
